id	english_technical_name	arabic_technical_name	arabic_layperson_synonym	arabic_definition
HP:0032920	Focal impaired awareness manual automatism seizure	نوبة تلقائية يدوية مختل الوعي بؤريًا	نوبة حركية في اليد مع ضعف الوعي	نوع من النوبات التلقائية البؤرية حيث يكون الوعي مضطرباً جزئياً أو كلياً في بعض الأوقات أثناء النوبة، وتتميز بحركات يدوية تظهر في البداية.
HP:0500032	Abnormal neuron branching	شذوذ تفرع العصبون	شذوذ في تفرع العصبون	شذوذ في بنية وتفرع تغصنات العصبون.
HP:0500033	Abnormal natural killer subset distribution	خلل توزيع الخلايا القاتلة الطبيعية	خلل في توزيع خلايا القاتلة الطبيعية	أي خلل في نسبة مجموعات الخلايا القاتلة الطبيعية بالنسبة إلى العدد الكلي للخلايا القاتلة الطبيعية.
HP:3000027	Abnormality of buccinator muscle	شذوذ عضلة البوكسينيتور	شذوذ في عضلة الفم	شذوذ في عضلة البوكسينيتور.
HP:3000028	Abnormality of depressor anguli oris muscle	شذوذ عضلة خافضة زاوية الفم	شذوذ في عضلة الوجه	شذوذ في عضلة خافضة زاوية الفم.
HP:3000029	Abnormality of depressor labii inferioris	شذوذ عضلة خافضة الشفة السفلى	شذوذ في عضلة أسفل الشفة	شذوذ في عضلة خافضة الشفة السفلى.
HP:3000030	Abnormal morphology of bony orbit of skull	شذوذ مورفولوجيا عظمة المدار الجمجمية	شذوذ في عظمة العين الجمجمية	شذوذ في إحدى مدارات الجمجمة.
HP:3000031	Abnormality of anterior ethmoidal artery	شذوذ الشريان الشبكي المركزي	شذوذ في الشريان الشبكي المركزي	شذوذ في الشريان الشبكي المركزي.
HP:3000032	Abnormality of central retinal artery	شذوذ الشريان الشبكي المركزي	شذوذ في الشريان الشبكي المركزي	شذوذ في الشريان الشبكي المركزي.
HP:3000033	Abnormal nasopharyngeal adenoid morphology	شذوذ في بنية اللحمية البلعومية الأنفية	مشاكل في اللحمية الفموية	أي شذوذ في اللحمية البلعومية الأنفية.
HP:3000034	Abnormality nasal septum cartilage morphology	تشوه غضروف الحاجز الأنفي	تشوه غضروف الحاجز الأنفي	شذوذ في غضروف الحاجز الأنفي.
HP:0008030	Retinal arteritis	التهاب الشرايين الشبكية	التهاب شرايين العين	التهاب يصيب الشرايين الموجودة في الشبكية.
HP:0008034	Abnormal iris pigmentation	شذوذ تصبغ القزحية	تغير لون القزحية	التغير في تصبغ القزحية الذي يكون غير طبيعي.
HP:0008035	Retinitis pigmentosa inversa	التهاب الشبكية الصباغي المعكوس	التهاب مركزي في الشبكية	شكل من أشكال التنكس الشبكي يتميز بتلف في مناطق الشبكية أو الشبكية القرنية مع انتقال الصباغ في منطقة البقعة الصفراء، بعكس التهاب الشبكية الصباغي الذي يؤثر عادةً في المراحل المبكرة على أطراف الشبكية.
HP:0008038	Aplastic/hypoplastic lacrimal glands	غدد دمعية متلازمة/ناقصة	غدد دمعية غير موجودة/غير مكتملة النمو	غياب أو عدم اكتمال تطور الغدة الدمعية.
HP:0008039	Subepithelial corneal opacities	عتمة القرنية تحت الظهارية	ضبابية القرنية	وجود ضبابية تحت الطبقة الظهارية للقرنية.
HP:0008046	Abnormal retinal vascular morphology	شذوذ مورفولوجيا الأوعية الشبكية	تغير في شكل أوعية الشبكية	شذوذ في التركيب الهيكلي للأوعية الدموية في الشبكية.
HP:0008047	Abnormality of the vasculature of the eye	شذوذ مورفولوجيا أوعية العين	تغير في أوعية الدم في العين	تغير تشريحي في الأوعية الدموية في العين.
HP:0008048	Abnormal line of Schwalbe morphology	شذوذ خط شوالبي	تغير في خط شوالبي	شذوذ في خط شوالبي الذي يعد جزءًا من التركيب الهيكلي للقرنية.
HP:0008049	Abnormality of the extraocular muscles	شذوذ العضلات خارج العين	تغير في عضلات العين الخارجية	شذوذ في عضلة من العضلات التي تتحكم في حركة العين خارج الجزء الرئيسي من العين.
HP:0008050	Abnormality of the palpebral fissures	شذوذ في الشق الجفني	شذوذ في فتحة العين	يشير هذا المصطلح إلى شذوذ في المسافة بين الزاويتين الداخلية والخارجية لكل من الجفن العلوي والسفلي عند فتح العينين.
HP:0007992	Lattice retinal degeneration	تنكس شبكي شبكي	نسيج أبيض في العين	نمط من الخطوط والنقاط البيضاء في الأطراف البعيدة من الشبكية.
HP:0007994	Peripheral visual field loss	فقدان المجال البصري الطرفي	ضيق الرؤية الجانبية	فقدان مجال الرؤية الطرفي مع الاحتفاظ بالرؤية المركزية، مما يؤدي إلى حقل رؤية دائري ضيق يشبه النفق.
HP:0008000	Decreased corneal reflex	ضعف المنعكس القرني	ضعف الاستجابة للقرنية	استجابة منخفضة بشكل غير طبيعي للتحفيز القرني (عن طريق اللمس أو جسم غريب أو نفخ الهواء). المنعكس القرني (المعروف أيضًا باسم منعكس الرمش) يؤدي عادة إلى غلق غير إرادي لجفون العين.
HP:0008001	Foveal hyperpigmentation	فرط تصبغ النقرة	زيادة التصبغ في النقرة	زيادة كمية التصبغ في النقرة.
HP:0008002	Abnormal macular pigmentation	شذوذ تصبغ البقعة	تصبغ غير طبيعي في البقعة	أي انحراف عن التوزيع الطبيعي أو الظهور المنتظم للتصبغ داخل منطقة البقعة من الشبكية.
HP:0008003	Jerky ocular pursuit movements	حركات ملاحقة عينية متشنجة	حركات ملاحقة العين متشنجة	حركات المتابعة العينية غير المنتظمة أو المتشنجة.
HP:0008009	Three rows of eyelashes	ثلاثة صفوف من الرموش	ثلاثة صفوف من الرموش	وجود ثلاثة صفوف من الرموش بدلاً من صف أو صفين معتادين.
HP:0008011	Peripheral opacification of the cornea	تعتيم محيطي للقرنية	تعتيم في الجانب من القرنية	انخفاض شفافية الجزء المحيطي من القرنية.
HP:0008019	Superior lens subluxation	تحت الخلع العدسي العلوي	انزلاق العدسة لأعلى	خلع جزئي للعدسة في اتجاه علوي.
HP:0008026	Horizontal opticokinetic nystagmus	الرأرأة الأفقي البصري الحركي	تحرك العين الأفقي غير المنتظم	حركة لا إرادية أفقية للعين تناسب النمط البصري الحركي.
HP:0032921	Focal impaired awareness pedal automatism seizure	نوبة حركية بؤرية بوعي مخفض مع أتمتة القدم	نوبة حركة غير طبيعية للقدم بوعي مخفض	نوع من النوبات البؤرية التي تحدث فيها حركات متناغمة للقدمين أو الساقين بينما يكون الوعي ضعيفًا جزئيًا أو كليًا في بعض الأحيان. تكون الحركة أقرب إلى الحركات الطبيعية من حيث السعة وتكون أقل تنوعًا أو سرعة مقارنة بالحركات في النوبات ذات النشاط الحركي المفرط.
HP:0032922	Focal impaired awareness perseverative automatism seizure	نوبة حركية بؤرية بوعي مخفض مع أتمتة مواظبة	نوبة تكرار الحركات اللاإرادية بوعي مخفض	نوع من النوبات البؤرية التي يتم فيها تكرار الحركة أو السلوك قبل النوبة بشكل غير مناسب بينما يكون الوعي ضعيفًا جزئيًا أو كليًا في بعض الأحيان.
HP:0032923	Focal impaired awareness vocal automatism seizure	نوبة حركية بؤرية بوعي مخفض مع أتمتة صوتية	نوبة أصوات غير مفهومة بوعي مخفض	نوع من النوبات البؤرية التي تحدث فيها أصوات غير مفهومة مثل الصرخات أو التنهدات بينما يكون الوعي ضعيفًا جزئيًا أو كليًا في بعض الأحيان.
HP:0032924	Focal impaired awareness verbal automatism seizure	نوبة حركية بؤرية بوعي مخفض مع أتمتة لفظية	نوبة كلمات متكررة بوعي مخفض	نوع من النوبات البؤرية التي تحدث فيها تكرار لكلمات أو عبارات أو جمل قصيرة بينما يكون الوعي ضعيفًا جزئيًا أو كليًا في بعض الأحيان.
HP:0032925	Focal impaired awareness sexual automatism seizure	نوبة حركية بؤرية بوعي مخفض مع أتمتة جنسية	نوبة سلوك جنسي غير إرادي بوعي مخفض	نوع من النوبات البؤرية التي تحدث فيها سلوكيات جنسية لاإرادية بينما يكون الوعي ضعيفًا جزئيًا أو كليًا في بعض الأحيان.
HP:0032926	Focal impaired awareness head nodding automatism seizure	نوبة حركية بؤرية بوعي مخفض مع أتمتة إيماء الرأس	نوبة إيماء الرأس غير إرادية بوعي مخفض	نوع من النوبات البؤرية التي تحدث فيها إيماءات رأس لاإرادية بينما يكون الوعي ضعيفًا جزئيًا أو كليًا في بعض الأحيان.
HP:0032927	Focal impaired awareness undressing automatism seizure	نوبة حركية بؤرية بوعي مخفض مع أتمتة التجرد	نوبة خلع الملابس غير إرادية بوعي مخفض	نوع من النوبات البؤرية التي تحدث فيها تجرد لا إرادي بينما يكون الوعي ضعيفًا جزئيًا أو كليًا في بعض الأحيان.
HP:0032928	Elevated CSF neurofilament light chain concentration	زيادة تركيز السلسلة الخفيفة للألياف العصبية في السائل الدماغي الشوكي	زيادة بروتينات الجهاز العصبي في السائل الدماغي	السلسلة الخفيفة للألياف العصبية (NfL) هي بروتين عصبي خلوي يُعبَّر عنه بشكل كبير في المحاور الكبيرة المغلَّفة بالميالين. يزيد مستوى هذا البروتين في السائل الدماغي الشوكي والدم بما يتناسب مع درجة الأضرار المحورية في مجموعة متنوعة من الاضطرابات العصبية، بما في ذلك الحالات الالتهابية والتنكسية العصبية والإصابات والوعائية الدماغية.
HP:0032929	Abnormal chondrocyte morphology	شذوذ مورفولوجيا الخلايا الغضروفية	شكل غير طبيعي لخلايا الغضاريف	أي هيكل غير طبيعي لخلية غضروفية، وهي خلية متعددة الأشكال تشكل الغضروف.
HP:0032930	Lacunar halos around chondrocytes	الهالات الفجوية حول الخلايا الغضروفية	حلقات حول خلايا الغضاريف	حلقات دائرية حول الخلايا الغضروفية.
HP:0008052	Retinal fold	طيّة الشبكية	طيّة في شبكية العين	تجعد في نسيج الشبكية يبرز خارجًا من سطحها ويظهر كخط في فحص قاع العين.
HP:0008054	Abnormal morphology of the conjunctival vasculature	شذوذ في شكل الأوعية الملتحمية	شكل غير طبيعي لأوعية العين الخارجية	أي شذوذ في الأوعية الدموية للملتحمة.
HP:3000035	Abnormality of cervical plexus	شذوذ الضفيرة العنقية	خلل الضفيرة العصبية في الرقبة	شذوذ في الضفيرة العصبية للأفرع الأمامية من الأربعة أعصاب الشوكية العنقية الأولى الواقعة من الفقرة C1 إلى الفقرة C4 في الرقبة.
HP:3000036	Abnormal head blood vessel morphology	شذوذ شكل الأوعية الدموية في الرأس	خلل في أوعية الرأس	شذوذ في وعاء دموي من أوعية الرأس، بما في ذلك فروع الجهازين الشرياني والوريدي في الرأس.
HP:3000037	Abnormal neck blood vessel morphology	شذوذ شكل الأوعية الدموية في الرقبة	خلل في أوعية عنق	شذوذ في وعاء دموي من أوعية الرقبة، بما في ذلك فروع الجهازين الشرياني والوريدي في الرقبة.
HP:3000038	Abnormal cricoid cartilage morphology	شذوذ شكل غضروف الحلقي	خلل في غضروف الحنجرة الحلقي	أي شذوذ بنيوي في غضروف الحلقي، وهو الغضروف الحلقي الشكل في الحنجرة.
HP:3000039	Abnormality of dorsal nasal artery	شذوذ الشريان الأنفي الظهري	خلل في الشريان الأنفي	شذوذ في شريان الأنف الظهري.
HP:3000040	Abnormality of ethmoid sinus	شذوذ الجيوب الغربالية	خلل في الجيوب الأنفية الغربالية	شذوذ في جيب أنفي غربالي.
HP:3000041	Abnormality of external carotid artery	شذوذ الشريان السباتي الخارجي	خلل في الشريان السباتي الخارجي	شذوذ في الشريان السباتي الخارجي.
HP:3000042	Abnormal jugular vein morphology	شذوذ شكل الوريد الوداجي	خلل في الوريد الوداجي	أي شذوذ بنيوي في الوريد الوداجي.
HP:3000043	Abnormal facial vein morphology	شذوذ شكل الوريد الوجهي	خلل في الوريد الوجهي	شذوذ في الوريد الوجهي.
HP:3000044	Abnormality of frontal process of maxilla	شذوذ النتوء الجبهي للفك العلوي	خلل في النتوء الجبهي للفك	شذوذ في النتوء الجبهي لعظم الفك العلوي.
HP:3000045	Abnormality of genioglossus muscle	شذوذ العضلة اللسانية الذقنية	شذوذ في عضلة اللسان	شذوذ في عضلة اللسانية الذقنية.
HP:3000046	Abnormal geniohyoid muscle morphology	شذوذ شكل العضلة الذقنية اللامية	شذوذ في عضلة الرقبة	شذوذ في العضلة الذقنية اللامية.
HP:3000047	Abnormal glossopharyngeal nerve morphology	شذوذ شكل العصب البلعومي اللساني	شذوذ في العصب البلعومي	أي شذوذ بنيوي في العصب البلعومي اللساني، العصب القحفي التاسع المزدوج (CN IX).
HP:3000048	Abnormal great auricular nerve morphology	شذوذ شكل العصب الأذني الكبير	شذوذ في العصب الأذني	أي شذوذ بنيوي في العصب الأذني الكبير.
HP:3000049	Abnormal greater palatine artery morphology	شذوذ شكل الشريان الحنكي الأكبر	شذوذ في الشريان الحنكي	شذوذ في الشريان الحنكي الأكبر.
HP:3000050	Abnormal odontoid tissue morphology	شذوذ شكل النسيج السني	شذوذ في أنسجة الأسنان	شذوذ في النسيج السني.
HP:3000051	Abnormal hyoglossus muscle morphology	شذوذ شكل العضلة اللامية اللسانية	شذوذ في عضلة اللسان	شذوذ في العضلة اللامية اللسانية.
HP:3000052	Abnormal hyoid bone morphology	شذوذ شكل العظم اللامي	شذوذ في العظم اللامي	أي شذوذ بنيوي في العظم اللامي، وهو عظم صغير بشكل حرف U (على شكل حدوة)، يقع في منتصف العنق أمامياً عند قاعدة الفك السفلي وخلفياً عند الفقرة العنقية الرابعة.
HP:3000053	Abnormal hypopharynx morphology	شذوذ شكل البلعوم السفلي	شذوذ في البلعوم السفلي	شذوذ بنيوي في البلعوم السفلي، الذي يعتبر الجزء الأكثر انخفاضاً من البلعوم. يمتد البلعوم السفلي من البلعوم الفموي عند الطية الحنجرية البلعومية في الأعلى ويمتد إلى الأسفل حتى مستوى الجانب السفلي من غضروف الحلق الذي يُشكل بداية المريء العنقي.
HP:3000054	Abnormal inferior alveolar artery morphology	شذوذ شكل الشريان السنخي السفلي	شذوذ في الشريان الفكي	شذوذ في الشريان السنخي السفلي.
HP:3000055	Abnormality of inferior alveolar nerve	شذوذ العصب السنخي السفلي	مشكلة في العصب السنخي السفلي	شذوذ في العصب السنخي السفلي.
HP:3000056	Abnormality of artery of lower lip	شذوذ شريان الشفة السفلى	مشكلة في شريان الشفة السفلى	شذوذ في شريان الشفة السفلى.
HP:3000057	Abnormality of inferior oblique extraocular muscle	شذوذ العضلة المائلة السفلية العينية	مشكلة في العضلة العينية السفلية	شذوذ في العضلة المائلة السفلية العينية.
HP:3000058	Abnormality of inferior rectus extraocular muscle	شذوذ العضلة المستقيمة السفلية العينية	مشكلة في العضلة العينية المستقيمة السفلية	شذوذ في العضلة المستقيمة السفلية العينية.
HP:3000059	Abnormal inferior thyroid vein morphology	شذوذ الوريد الدرقي السفلي	مشكلة في الوريد الدرقي السفلي	شذوذ في الوريد الدرقي السفلي.
HP:3000060	Abnormal infraorbital artery morphology	شذوذ شريان تحت الحجاج	مشكلة في شريان تحت الحجاج	شذوذ في شريان تحت الحجاج.
HP:3000061	Abnormality of infra-orbital nerve	شذوذ العصب تحت الحجاج	مشكلة في العصب تحت الحجاج	شذوذ في العصب تحت الحجاج، يتفرع العصب تحت الحجاج من الفرع الفك العلوي للعصب الثلاثي ويقطع قاعدة الحجاج داخل قناة تحت الحجاج.
HP:3000062	Abnormal internal carotid artery morphology	شذوذ شريان السباتي الداخلي	مشكلة في شريان السباتي الداخلي	شذوذ في شريان السباتي الداخلي.
HP:3000063	Abnormality of internal jugular vein	شذوذ الوريد الوداجي الداخلي	مشكلة في الوريد الوداجي الداخلي	شذوذ في الوريد الوداجي الداخلي.
HP:3000064	Abnormality of intrinsic muscle of tongue	شذوذ العضلة الداخلية للسان	مشكلة في عضلة اللسان	شذوذ في عضلة داخلية من عضلات اللسان.
HP:0032932	Increased circulating pancreatic triacylglycerol lipase level	زيادة مستوى الليباز الثلاثي الجليسيرايد البنكرياسي في الدورة الدموية	زيادة إنزيم في الدم	زيادة مستوى إنزيم الليباز الثلاثي الجليسيرايد في الدورة الدموية، والذي يمكن قياسه في مصل الدم أو البلازما.
HP:0032933	Airway hyperresponsiveness	فرط التحسس في المجرى الهوائي	تحسس زائد في المجاري التنفسية	زيادة حساسية الشعب الهوائية لمادة مضيقة مستنشقة، مع ميل أكبر لاتجاه الاستجابة وارتفاع كبير في الاستجابة القصوى للمادة.
HP:0032934	Spontaneous cerebrospinal fluid leak	تسرب تلقائي للسائل النخاعي	تسرب سائل العمود الفقري	تسرب تلقائي وغير مبرر للسائل النخاعي من المحفظة التي تحيط بالدماغ (تسرب قحفي) أو العمود الفقري (تسرب فقري).
HP:0032935	Posterior crocodile shagreen of the cornea	كروكونيريا الخلفية للقرنية	نمط غير عادي على القرنية	نمط عتامة رمادي متعدد الأضلاع مع مناطق صافية بينهم عبر القرنية المركزية يشبه جلد التمساح.
HP:0032936	Intrusion symptom	عرض الاقتحام	ذكريات مؤلمة مفاجئة	إعادة تجربة الحادث المؤلم بشكل غير متعمد تتضمن عادة انطباعات حسية واستجابات عاطفية ناتجة عن الصدمة. هذه الأعراض تبدو أنها تفتقر إلى إحساس بمنظور الزمن والسياق.
HP:0032937	Recurrent, involuntary, and intrusive distressing memories	ذكريات مزعجة متكررة وغير طوعية وملحة	ذكريات مؤلمة متكررة	بعد التعرض لصدمة نفسية، قد يواجه الأفراد تكرارًا للانطباعات الحسية والمعرفية للحادث الذي يقتحم وعيهم بغير إرادة. عادةً ما تظهر هذه الذكريات الاقتحامية على شكل صور بصرية (مثل الصور الذهنية)، ولكن يمكن أيضاً أن تشمل الأصوات، الروائح، الطعوم، والإحساسات الجسدية. تصاحبها مجموعة من المشاعر السلبية المرتبطة بأشد اللحظات تأثيراً من الذاكرة المؤلمة.
HP:0032938	Recurrent trauma-related distressing dreams	أحلام مزعجة متكررة مرتبطة بالصدمة	كوابيس مؤلمة	تحدث الأحلام المزعجة المتكررة عندما يكون محتوى الحلم و/أو تأثيره العاطفي مرتبطًا بحادث أو أحداث صادمة.
HP:0032939	Physiological reactivity to cues	تفاعل فيزيولوجي للإشارات	استجابة جسدية للمحفزات	ردود فعل فيزيولوجية واضحة للإشارات الداخلية أو الخارجية التي ترمز أو تشبه جانبًا من الحادث(الحوادث) الصادمة.
HP:0032940	Dissociation	تفكك	انقطاع عن الواقع	انقطاع أو انفصال جوانب معينة من الوظائف النفسية الطبيعية للشخص، ويتعلق عادة بانفصال أو فصل عن الأفكار، المشاعر، الإحساسات، الذكريات، أو الإحساس بالهوية أو الواقع.
HP:0032941	Intense psychological distress to cues	ضيق نفسي شديد تجاه الإشارات	توتر نفسي بسبب المحفزات	يحدث الضيق النفسي الشديد أو المطول عند تعرض الأفراد لإشارات داخلية أو خارجية ترمز أو تشبه جانبًا من الحادث أو الأحداث الصادمة.
HP:0008089	Abnormality of the fifth metatarsal bone	شذوذ العظم المشط الخامس	شذوذ في العظم الطويل الخامس للقدم	خلل في العظم المشطي الخامس.
HP:0008090	Ankylosis of feet small joints	التصلب المفصلي للمفاصل الصغيرة في القدم	تصلب في مفاصل القدم الصغيرة	اندماج غير طبيعي للمفاصل الصغيرة في القدم مما يؤدي إلى فقدان الحركة.
HP:0008095	Osteolysis of talus	انحلال العظم الطالسي	انحلال في العظم الطالسي	انحلال يصيب العظم الطالسي.
HP:0008102	Expanded metatarsals with widened medullary cavities	توسع العظام المشطية مع تجاويف لبية متوسعة	توسع العظام المشطية	توسُّع غير طبيعي للعظام المشطية مع وجود تجاويف لبية أوسع.
HP:0008110	Equinovarus deformity	تشوه القعس القدم	تشوه القعس القدم	تشوه في القدم يتسم بوجود انحراف داخلي للقدم مع انحناء للأسفل.
HP:0008112	Plantar flexion contracture	تقفع الثني الأنسية	تقلص في عضلات الثني للقدم	نوع من التقفع يتميز بتقلص عضلات الثني للقدم.
HP:0008115	Clinodactyly of the 3rd toe	ترقف الأصبع الثالث	انحناء في الأصبع الثالث	انحناء أو تقوس في الأصبع الثالث باتجاه القصبة (أي نحو الإصبع الكبير).
HP:0008116	Flexion limitation of toes	تقييد الانثناء للأصابع	صعوبة في ثني الأصابع	قيود على القدرة على ثني أصابع القدم.
HP:0008117	Shortening of the talar neck	تقصير عنق العظم الطالسي	تقصير عنق العظم الطالسي	تقصير غير طبيعي في عنق العظم الطالسي.
HP:0008133	Distal tapering of metatarsals	ترقق نهاية العظام المشطية	ترقق نهاية العظام المشطية	تضيق غير طبيعي في نهاية العظام المشطية.
HP:0008066	Abnormal blistering of the skin	شذوذ في تكوين الفقاعات الجلدية	فقاعات جلدية	وجود فقاعات أو عدة فقاعات على الجلد، تُعرف بأنها بثور مملوءة بسائل يزيد قطرها عن 5 مم ولها جدران رقيقة.
HP:0008067	Abnormally lax or hyperextensible skin	جلد رخو أو مفرط المرونة بشكل غير طبيعي	جلد مفرط المرونة	جلد يتمتع بمرونة زائدة أو رخو بشكل غير طبيعي بحيث يمكن شده أو تمديده أكثر من المعتاد.
HP:0008071	Maternal hypertension	ارتفاع ضغط الدم لدى الأم	ضغط الدم العالي أثناء الحمل	ارتفاع في ضغط الدم خلال فترة الحمل.
HP:0008072	Maternal virilization in pregnancy	التفحُّل الأدوي أثناء الحمل	زيادة في الشعر وتغير الصوت أثناء الحمل	حدوث علامات الذكورة مثل تعمق الصوت، ظهور الشعر على الوجه وفقدان شعر الرأس مع بداية في الحمل (عادة بنهاية الثلث الأول) واختفاء بعد عدة أشهر من الولادة.
HP:0008073	Low maternal circulating estriol concentration	انخفاض تركيز الإيستريول الدائر في دم الأم	نقص الإيستريول في دم الأم	تركيز منخفض بشكل غير طبيعي للإيستريول المترافق في الدم مقارنة بالقيم الطبيعية لعمر الحمل.
HP:0008074	Metatarsal periosteal thickening	سماكة السمحاق المشطي	زيادة سماكة العظم بالقدم	سماكة غير طبيعية في السمحاق المغطي لعظام القدم.
HP:0008076	Osteoporotic tarsals	عظام العقب المترققة	هشاشة عظام القدم	انخفاض في الكثافة المعدنية للعظام يؤثر على أي من أو جميع عظام العقب، وهي سبعة عظام في القدم تشمل الكعب، الرصغ، العظم المكعب، العظم الحنكي، والعظام الوتدية.
HP:0008078	Thin metatarsal cortices	قشور مشطية رقيقة	عظام القدم الرقيقة	قشور رقيقة بشكل غير طبيعي في العظام المشطية للقدم.
HP:0008079	Absent fifth metatarsal	غياب العظمة الخامسة من المشط	غياب العظمة الخامسة للقدم	شذوذ في التطور يتميز بغياب العظمة الخامسة من المشط.
HP:0008082	Medial deviation of the foot	انحراف القدم الداخلي	ميلان القدم للداخل	حالة يحدث فيها انحراف القدم نحو المحور الوسطي للجسم.
HP:0032942	Avoidance of stimuli associated with traumatic event	تجنب المحفزات المرتبطة بالحدث الصادم	تجنب الأشياء التي تذكّر بالحدث السيء	تجنب أو محاولة تجنب الذكريات أو الأفكار أو المشاعر المزعجة المتعلقة بالحدث الصادم أو المرتبطة به. يشمل ذلك تجنب أو محاولة تجنب المحفزات الخارجية (مثل الأشخاص، الأماكن، المحادثات، الأنشطة، الأشياء، المواقف) التي تثير الذكريات أو الأفكار أو المشاعر المزعجة المرتبطة بالحدث الصادم.
HP:0032943	Abnormal urine pH	خلل في حموضة البول	خلل في حموضة البول	انحراف حموضة البول عن النطاق الطبيعي الذي يتراوح بين 4.5 و 7.8.
HP:0032944	Alkaline urine	بول قلوي	بول قلوي	حموضة البول بقيمة 8 أو أعلى.
HP:0032945	Renal interstitial inflammation	التهاب الخلال الكلوي	التهاب في الكلى	نتائج الفحص الهستوباثولوجي تشير إلى التهاب في الخلال الكلوي الذي قد يشمل مناطق ليفية وغير ليفية، متكون من الخلايا اللمفاوية، الوحيدات، والبلازما.
HP:0032946	Renal cortical interstitial inflammation	التهاب الخلال القشري الكلوي	التهاب في الجزء الخارجي للكلى	نتائج الفحص الهستوباثولوجي تشير إلى التهاب في الخلال الكلوي الذي يشمل مناطق ليفية وغير ليفية في القشرة الكلوية، ويتكون من الخلايا اللمفاوية، الوحيدات، والبلازما.
HP:0032947	Renal medullary interstitial inflammation	التهاب الخلال النخاعي الكلوي	التهاب في الجزء الداخلي للكلى	نتائج الفحص الهستوباثولوجي تشير إلى التهاب في الخلال النخاعي للكلى، يتكون من الخلايا اللمفاوية، الوحيدات، والبلازما.
HP:0032948	Renal interstitial fibrosis	تليف الخلال الكلوي	تليف في الكلى	تراكم الكولاجين وجزيئات المصفوفة خارج الخلوية ذات الصلة في الخلال الكلوي. يتوسع الخلال بفعل الكولاجين الذي يصبغ أزرق في صبغة تريكروم. الأنابيب ليست متواجدة بشكل متسلسل، بل مفصولة بالتليف ويمكن أن تكون ضامرة.
HP:0032949	Renal interstitial calcium phosphate deposits	ترسبات الكالسيوم والفوسفات في الخلال الكلوي	ترسبات الكالسيوم في الكلى	وجود تجمعات بينية من ترسبات الكالسيوم والفوسفات ذات الحبيبات الدقيقة الارجوانية أو الطبقية.
HP:0032950	Abnormal renal tubular lumen morphology	شذوذ في مورفولوجيا تجويف الأنابيب الكلوية	تغير في شكل تجويف الأنابيب الكلوية	هيكل أو شكل غير طبيعي لتجويف (فتح) الأنابيب الكلوية.
HP:0032951	Renal tubular viral cytopathic changes	تغيرات خلوية فيروسية في أنابيب الكلى	تغيرات خلوية فيروسية في الكلى	التغيرات الفيروسية الخلوية تتكون من إدراجات بازلية مزغبة داخل النواة مع نوى متضخمة للخلايا المصابة. تتأثر الأنابيب البعيدة بشكل أكثر شيوعًا من الأنابيب القريبة. كما يوجد إصابة حادة في الأنابيب، غالباً مع نخر أنبوبي صريح وتدمير، مع التهاب كبيبي بين الحاد، غالباً مع تسلل متعدد الأشكال مكون من الخلايا اللمفاوية، الهيستويات، الخلايا البلازمية، وعدد متغير من العدلات، مع وذمة بينية ونزيف. قد يرتبط تدمير الأنابيب مع حبيبات بينية نخرية. يتميز التهاب الكلية الحبيبي بين الحاد الشديد بوجود عدوى فيروسية غدية وهو نادر جداً في الالتهابات الفيروسية الأخرى. قد يحدث نخر شكل إسفيني مركز في النسج الكلوية. يوضح التصبيغ المناعي لفيروس الأدينو بوضوح التصبيغ النووي والسيتوبلازمي في الخلايا المصابة.
HP:3000065	Abnormal lacrimal artery morphology	شذوذ في مورفولوجيا الشريان الدمعي	شذوذ في الشريان الدمعي	شذوذ في شريان الدمعي.
HP:3000066	Abnormal lacrimal sac morphology	شذوذ في مورفولوجيا كيس الدمع	شذوذ في كيس الدمع	شذوذ في كيس الدمع.
HP:3000067	Abnormal lateral cricoarytenoid muscle morphology	شذوذ في مورفولوجيا العضلة الكريكو آرية الجانبية	شذوذ في العضلات المحيطة بالحنجرة	أي شذوذ هيكلي في العضلة الكريكو آرية الجانبية التي تمتد من الغضروف الحلقيات الجانبي إلى العملية العضلية لغضروفي الأريتين. يمكنها تقريب الأوتار الصوتية، مما يغلق فتحة المزمار ويحول دون دخول الأجسام الغريبة إلى مجرى التنفس.
HP:3000068	Abnormality of lateral pterygoid muscle	شذوذ في العضلة الجناحية الجانبية	شذوذ في العضلة المساعدة للمضع	شذوذ في العضلة الجناحية الجانبية.
HP:3000069	Abnormality of lateral rectus extra-ocular muscle	شذوذ في العضلة المستقيمة الجانبية خارج العين	شذوذ في العضلات المحيطة بالعين	شذوذ في العضلة المستقيمة الجانبية خارج العين.
HP:3000070	Abnormality of levator anguli oris	شذوذ في عضلة رافع زاوية الفم	شذوذ في العضلة التي ترفع زوايا الفم	شذوذ في عضلة رافع زاوية الفم.
HP:3000071	Abnormality of levator labii superioris	شذوذ في عضلة رافع الشفة العليا	شذوذ في العضلة التي ترفع الشفة العليا	شذوذ في عضلة رافع الشفة العليا.
HP:3000072	Abnormal levator palpebrae superioris morphology	شذوذ في مورفولوجيا العضلة الرافعة للجفن العلوي	شذوذ في العضلة المسؤولة عن رفع الجفن العلوي	شذوذ في العضلة الرافعة للجفن العلوي.
HP:3000073	Abnormality of levator veli palatini muscle	شذوذ في عضلة الحنك الرافعة	شذوذ في العضلة المسؤولة عن رفع الحنك	شذوذ في عضلة الحنك الرافعة.
